0, 75.7, 44.437
1, 46.694, 26.974
2, 60.457, 36.376
3, 42.104, 19.536
4, 31.466, 14.74
5, 45.979, 20.68
6, 28.615, 15.154
7, 23.656, 10.5
8, 37.72, 18.965
9, 21.657, 9.91
10, 19.038, 8.801
11, 31.811, 13.011
12, 17.333, 8.444
13, 15.929, 6.693
14, 27.267, 12.392
15, 14.41, 6.005
16, 13.715, 6.012
17, 23.728, 10.548
18, 12.353, 5.329
19, 12.102, 4.696
20, 20.972, 8.926
21, 10.867, 4.046
22, 10.908, 4.497
23, 18.825, 8.771
24, 9.769, 3.715
25, 10.011, 3.812
26, 17.141, 6.964
27, 8.94, 3.183
28, 9.325, 3.635
29, 15.805, 7.599
30, 8.298, 2.821
31, 8.79, 3.599
32, 14.726, 5.845
33, 7.787, 2.723
34, 8.362, 3.155
35, 13.838, 6.805
36, 7.372, 2.453
37, 8.011, 3.473
38, 13.09, 5.395
39, 7.024, 2.439
40, 7.716, 2.97
41, 12.449, 6.226
42, 6.727, 2.195
43, 7.463, 3.362
44, 11.886, 5.042
45, 6.468, 2.226
46, 7.241, 2.826
47, 11.386, 5.769
48, 6.237, 1.998
49, 7.043, 3.264
50, 10.932, 4.741
51, 6.029, 2.057
52, 6.864, 2.807
53, 10.517, 5.386
54, 5.838, 1.842
55, 6.7, 3.176
56, 10.132, 4.469
57, 5.662, 1.916
58, 6.547, 2.77
59, 9.772, 5.049
60, 5.497, 1.728
61, 6.404, 3.094
62, 9.433, 4.215
63, 5.342, 1.795
64, 6.27, 2.72
65, 9.113, 4.744
66, 5.196, 1.651
67, 6.143, 3.018
68, 8.809, 3.977
69, 5.057, 1.688
70, 6.022, 2.663
71, 8.519, 4.463
72, 4.924, 1.575
73, 5.907, 2.944
74, 8.241, 3.751
75, 4.797, 1.593
76, 5.797, 2.601
77, 7.975, 4.201
78, 4.675, 1.5
79, 5.691, 2.873
80, 7.72, 3.537
81, 4.559, 1.507
82, 5.589, 2.537
83, 7.474, 3.956
84, 4.446, 1.45
85, 5.491, 2.803
86, 7.238, 3.334
87, 4.338, 1.429
88, 5.396, 2.471
89, 7.011, 3.726
90, 4.233, 1.407
91, 5.305, 2.735
92, 6.792, 3.143
93, 4.132, 1.357
94, 5.216, 2.406
95, 6.58, 3.51
96, 4.034, 1.364
97, 5.13, 2.669
98, 6.376, 2.962
99, 3.939, 1.302
100, 5.047, 2.342
101, 6.179, 3.306
102, 3.847, 1.32
103, 4.966, 2.604
104, 5.988, 2.791
105, 3.758, 1.255
106, 4.888, 2.278
107, 5.804, 3.114
108, 3.671, 1.276
109, 4.811, 2.54
110, 5.626, 2.629
111, 3.587, 1.209
112, 4.737, 2.215
113, 5.454, 2.933
114, 3.505, 1.232
115, 4.665, 2.477
116, 5.288, 2.477
117, 3.426, 1.163
118, 4.594, 2.154
119, 5.126, 2.763
120, 3.348, 1.189
121, 4.525, 2.416
122, 4.971, 2.333
123, 3.273, 1.117
124, 4.457, 2.095
125, 4.82, 2.602
126, 3.199, 1.145
127, 4.391, 2.355
128, 4.674, 2.198
