iteration 0:       2norm: 19.961      infinity_norm: 12.5,,,,,,0,19.961
iteration 1:       2norm: 14.061      infinity_norm: 6.705,,,,,,1,14.061
iteration 2:       2norm: 17.266      infinity_norm: 9.988,,,,,,2,17.266
iteration 3:       2norm: 10.579      infinity_norm: 4.252,,,,,,3,10.579
iteration 4:       2norm: 8.48      infinity_norm: 3.536,,,,,,4,8.48
iteration 5:       2norm: 11.017      infinity_norm: 5.396,,,,,,5,11.017
iteration 6:       2norm: 7.019      infinity_norm: 3.234,,,,,,6,
iteration 7:       2norm: 6.115      infinity_norm: 1.945,,,,,,7,
iteration 8:       2norm: 8.462      infinity_norm: 5.057,,,,,,8,
iteration 9:       2norm: 5.125      infinity_norm: 1.883,,,,,,9,
iteration 10:       2norm: 4.773      infinity_norm: 1.884,,,,,,10,
iteration 11:       2norm: 6.468      infinity_norm: 2.713,,,,,,11,
iteration 12:       2norm: 3.85      infinity_norm: 1.442,,,,,,12,
iteration 13:       2norm: 3.788      infinity_norm: 1.312,,,,,,13,
iteration 14:       2norm: 4.987      infinity_norm: 2.604,,,,,,14,
iteration 15:       2norm: 2.953      infinity_norm: 1.102,,,,,,15,
iteration 16:       2norm: 3.076      infinity_norm: 1.31,,,,,,16,
iteration 17:       2norm: 3.773      infinity_norm: 1.591,,,,,,17,
iteration 18:       2norm: 2.309      infinity_norm: 0.858,,,,,,18,
iteration 19:       2norm: 2.536      infinity_norm: 1.0,,,,,,19,
iteration 20:       2norm: 2.862      infinity_norm: 1.336,,,,,,20,
iteration 21:       2norm: 1.834      infinity_norm: 0.663,,,,,,21,
iteration 22:       2norm: 2.13      infinity_norm: 0.925,,,,,,22,
iteration 23:       2norm: 2.153      infinity_norm: 0.904,,,,,,23,
iteration 24:       2norm: 1.475      infinity_norm: 0.534,,,,,,24,
iteration 25:       2norm: 1.805      infinity_norm: 0.747,,,,,,25,
iteration 26:       2norm: 1.627      infinity_norm: 0.7,,,,,,26,
iteration 27:       2norm: 1.192      infinity_norm: 0.422,,,,,,27,
iteration 28:       2norm: 1.534      infinity_norm: 0.66,,,,,,28,
iteration 29:       2norm: 1.226      infinity_norm: 0.517,,,,,,29,
iteration 30:       2norm: 0.965      infinity_norm: 0.351,,,,,,30,
iteration 31:       2norm: 1.291      infinity_norm: 0.536,,,,,,31,
iteration 32:       2norm: 0.928      infinity_norm: 0.4,,,,,,32,
iteration 33:       2norm: 0.779      infinity_norm: 0.287,,,,,,33,
