0,0
0.02,17218.38202
0.04,32672.535
0.06,46465.15185
0.08,58695.33526
0.1,69458.65774
0.12,78847.22169
0.14,86949.7194
0.16,93851.49318
0.18,99634.59537
0.2,104377.8484
0.22,108156.9049
0.24,111044.3076
0.26,113109.5496
0.28,114419.1342
0.3,115036.6352
0.32,115022.7567
0.34,114435.3935
0.36,113329.6906
0.38,111758.1039
0.4,109770.4598
0.42,107414.0153
0.44,104733.5184
0.46,101771.2677
0.48,98567.17284
0.5,95158.81424
0.52,91581.50336
0.54,87868.34266
0.56,84050.28573
0.58,80156.19725
0.6,76212.91315
0.62,72245.30056
0.64,68276.31794
0.66,64327.07512
0.68,60416.89333
0.7,56563.36528
0.72,52782.41519
0.74,49088.35889
0.76,45493.96382
0.78,42010.50912
0.8,38647.84568
0.82,35414.4562
0.84,32317.5152
0.86,29362.94915
0.88,26555.49647
0.9,23898.7676
0.92,21395.30507
0.94,19046.64352
0.96,16853.36979
0.98,14815.18295
1,12930.95439
1.02,11198.78783
1.04,9616.0794
1.06,8179.577693
1.08,6885.443821
1.1,5729.311465
1.12,4706.346933
1.14,3811.309216
1.16,3038.610039
1.18,2382.373919
1.2,1836.498222
1.22,1394.713212
1.24,1050.642112
1.26,797.8611563
1.28,629.9596448
1.3,540.6
1.32,523.5778207
1.34,572.8819374
1.36,682.7544675
1.38,847.7508697
1.4,1062.8
1.42,1323.264166
1.44,1624.999181
1.46,1964.414422
1.48,2338.532882
1.5,2745.051225
1.52,3182.399844
1.54,3649.80291
1.56,4147.338436
1.58,4675.998322
1.6,5237.748419
1.62,5835.588577
1.64,6473.612706
1.66,7157.068824
1.68,7892.419119
1.7,8687.4
1.72,9551.082154
1.74,10493.9306
1.76,11527.86474
1.78,12666.31843
1.8,13924.3
1.82,15318.45236
1.84,16867.11301
1.86,18590.37411
1.88,20510.14256
1.9,22650.2
1.92,25036.26292
1.94,27696.04268
1.96,30659.30559
1.98,33957.93294
2,37625.98107
